example_id                                                      | status | run_time        |
--------------------------------------------------------------- | ------ | --------------- |
./spec/commands/collect_command_spec.rb[1:1]                    | passed | 0.02637 seconds |
./spec/commands/collect_command_spec.rb[1:2:1:1]                | passed | 0.0038 seconds  |
./spec/commands/collect_command_spec.rb[1:2:2:1]                | passed | 0.00662 seconds |
./spec/commands/collect_command_spec.rb[1:3]                    | passed | 0.00377 seconds |
./spec/decorators/page_view_decorator_spec.rb[1:1:1]            | passed | 0.00034 seconds |
./spec/decorators/page_view_decorator_spec.rb[1:2:1]            | passed | 0.00041 seconds |
./spec/mappers/main_mapper_spec.rb[1:1]                         | passed | 0.01486 seconds |
./spec/mappers/page_view_mapper_spec.rb[1:1]                    | passed | 0.00079 seconds |
./spec/mappers/page_view_mapper_spec.rb[1:2:1]                  | passed | 0.00067 seconds |
./spec/mappers/page_view_mapper_spec.rb[1:3:1]                  | passed | 0.00063 seconds |
./spec/mappers/visit_mapper_spec.rb[1:1]                        | passed | 0.00054 seconds |
./spec/mappers/visit_mapper_spec.rb[1:2:1]                      | passed | 0.00037 seconds |
./spec/mappers/visit_mapper_spec.rb[1:3:1]                      | passed | 0.0004 seconds  |
./spec/operations/page_views/bulk_create_spec.rb[1:1]           | passed | 0.02886 seconds |
./spec/operations/visits/find_or_create_spec.rb[1:1]            | passed | 0.04601 seconds |
./spec/presenters/page_view_collection_presenter_spec.rb[1:1]   | passed | 0.00048 seconds |
./spec/presenters/page_view_collection_presenter_spec.rb[1:2:1] | passed | 0.00063 seconds |
./spec/schemas/page_view_schema_spec.rb[1:1:1]                  | passed | 0.00054 seconds |
./spec/schemas/page_view_schema_spec.rb[1:2]                    | passed | 0.00056 seconds |
./spec/schemas/visit_schema_spec.rb[1:1:1]                      | passed | 0.0004 seconds  |
./spec/schemas/visit_schema_spec.rb[1:2]                        | passed | 0.00037 seconds |
./spec/system/boot/container_spec.rb[1:1]                       | passed | 0.00271 seconds |
./spec/transactions/collect_data_spec.rb[1:1]                   | passed | 0.36648 seconds |
./spec/transactions/poro/data_spec.rb[1:1]                      | passed | 0.02243 seconds |
